  step          time          temperature          energy_tot          energy_kin          energy_pot
 165            82.50             444.88          -149.919880            0.012680         -149.932560
 166            83.00             402.22          -149.919895            0.011464         -149.931359
 167            83.50             306.72          -149.919815            0.008742         -149.928557
 168            84.00             200.76          -149.919683            0.005722         -149.925405
 169            84.50             128.01          -149.919549            0.003648         -149.923197
 170            85.00             115.44          -149.919456            0.003290         -149.922746
 171            85.50             165.19          -149.919435            0.004708         -149.924143
 172            86.00             253.50          -149.919489            0.007225         -149.926714
 173            86.50             339.93          -149.919587            0.009688         -149.929275
 174            87.00             385.11          -149.919670            0.010976         -149.930646
 175            87.50             371.47          -149.919678            0.010587         -149.930265
 176            88.00             317.11          -149.919597            0.009038         -149.928635
 177            88.50             268.95          -149.919494            0.007665         -149.927160
 178            89.00             270.13          -149.919473            0.007699         -149.927172
 179            89.50             323.38          -149.919570            0.009217         -149.928787
 180            90.00             386.51          -149.919716            0.011016         -149.930732
 181            90.50             407.54          -149.919811            0.011615         -149.931427
 182            91.00             363.88          -149.919806            0.010371         -149.930177
 183            91.50             272.94          -149.919712            0.007779         -149.927491
 184            92.00             176.01          -149.919572            0.005016         -149.924588
 185            92.50             114.54          -149.919436            0.003265         -149.922700
 186            93.00             113.11          -149.919346            0.003224         -149.922570
 187            93.50             171.68          -149.919331            0.004893         -149.924224
 188            94.00             265.06          -149.919390            0.007555         -149.926945
 189            94.50             352.78          -149.919493            0.010055         -149.929548
 190            95.00             396.54          -149.919580            0.011302         -149.930882
 191            95.50             380.03          -149.919591            0.010831         -149.930422
 192            96.00             322.07          -149.919513            0.009179         -149.928693
 193            96.50             269.44          -149.919412            0.007680         -149.927091
 194            97.00             264.69          -149.919388            0.007544         -149.926932
 195            97.50             310.23          -149.919477            0.008842         -149.928319
 196            98.00             364.92          -149.919607            0.010401         -149.930007
 197            98.50             379.37          -149.919682            0.010813         -149.930494
 198            99.00             333.79          -149.919658            0.009513         -149.929172
 199            99.50             246.95          -149.919553            0.007039         -149.926591
 200           100.00             159.46          -149.919409            0.004545         -149.923953
 201           100.50             110.52          -149.919276            0.003150         -149.922425
 202           101.00             122.00          -149.919195            0.003477         -149.922672
 203           101.50             191.25          -149.919192            0.005451         -149.924643
 204           102.00             291.15          -149.919266            0.008298         -149.927564
 205           102.50             380.40          -149.919382            0.010842         -149.930224
 206           103.00             420.63          -149.919480            0.011989         -149.931469
 207           103.50             396.03          -149.919497            0.011287         -149.930784
 208           104.00             326.80          -149.919417            0.009314         -149.928731
 209           104.50             261.84          -149.919309            0.007463         -149.926771
 210           105.00             245.72          -149.919273            0.007003         -149.926276
 211           105.50             282.70          -149.919345            0.008057         -149.927402
 212           106.00             333.56          -149.919457            0.009507         -149.928964
 213           106.50             350.04          -149.919519            0.009977         -149.929496
 214           107.00             311.69          -149.919490            0.008884         -149.928373
 215           107.50             235.03          -149.919383            0.006699         -149.926082
 216           108.00             158.02          -149.919242            0.004504         -149.923746
 217           108.50             117.96          -149.919114            0.003362         -149.922476
 218           109.00             135.82          -149.919041            0.003871         -149.922912
 219           109.50             208.72          -149.919046            0.005949         -149.924994
 220           110.00             309.96          -149.919128            0.008834         -149.927962
 221           110.50             398.67          -149.919254            0.011363         -149.930616
 222           111.00             436.43          -149.919360            0.012439         -149.931798
 223           111.50             407.29          -149.919381            0.011608         -149.930989
 224           112.00             331.82          -149.919302            0.009457         -149.928759
 225           112.50             259.55          -149.919191            0.007398         -149.926589
 226           113.00             235.52          -149.919149            0.006713         -149.925862
 227           113.50             264.69          -149.919209            0.007544         -149.926753
 228           114.00             309.69          -149.919304            0.008827         -149.928130
 229           114.50             324.79          -149.919350            0.009257         -149.928607
 230           115.00             291.18          -149.919311            0.008299         -149.927610
 231           115.50             224.97          -149.919204            0.006412         -149.925615
 232           116.00             161.74          -149.919071            0.004610         -149.923681
 233           116.50             135.54          -149.918958            0.003863         -149.922821
 234           117.00             164.08          -149.918902            0.004676         -149.923578
 235           117.50             241.87          -149.918924            0.006894         -149.925818
 236           118.00             341.33          -149.919021            0.009728         -149.928749
 237           118.50             422.50          -149.919154            0.012042         -149.931196
 238           119.00             449.25          -149.919260            0.012804         -149.932065
 239           119.50             408.58          -149.919278            0.011645         -149.930923
 240           120.00             323.32          -149.919194            0.009215         -149.928409
 241           120.50             243.59          -149.919077            0.006942         -149.926019
 242           121.00             214.10          -149.919024            0.006102         -149.925126
 243           121.50             240.59          -149.919068            0.006857         -149.925925
 244           122.00             287.27          -149.919152            0.008188         -149.927339
 245           122.50             308.77          -149.919193            0.008800         -149.927994
 246           123.00             284.54          -149.919156            0.008110         -149.927265
 247           123.50             228.16          -149.919054            0.006503         -149.925557
 248           124.00             173.42          -149.918928            0.004943         -149.923871
 249           124.50             153.61          -149.918824            0.004378         -149.923202
 250           125.00             186.23          -149.918779            0.005308         -149.924087
 251           125.50             265.57          -149.918814            0.007569         -149.926384
 252           126.00             363.71          -149.918922            0.010366         -149.929288
 253           126.50             440.49          -149.919063            0.012554         -149.931618
 254           127.00             460.44          -149.919171            0.013123         -149.932295
 255           127.50             412.31          -149.919186            0.011751         -149.930938
 256           128.00             320.44          -149.919101            0.009133         -149.928234
 257           128.50             234.91          -149.918982            0.006695         -149.925677
 258           129.00             199.47          -149.918920            0.005685         -149.924606
 259           129.50             220.43          -149.918949            0.006283         -149.925232
 260           130.00             264.88          -149.919015            0.007550         -149.926565
 261           130.50             290.41          -149.919047            0.008277         -149.927324
 262           131.00             277.09          -149.919010            0.007898         -149.926908
 263           131.50             236.16          -149.918920            0.006731         -149.925651
 264           132.00             197.10          -149.918815            0.005618         -149.924432
 265           132.50             188.72          -149.918734            0.005379         -149.924113
 266           133.00             225.05          -149.918710            0.006414         -149.925125
 267           133.50             299.11          -149.918759            0.008525         -149.927284
 268           134.00             384.74          -149.918869            0.010965         -149.929834
 269           134.50             446.04          -149.919003            0.012713         -149.931715
 270           135.00             452.75          -149.919100            0.012904         -149.932004
 271           135.50             397.15          -149.919108            0.011319         -149.930427
 272           136.00             303.48          -149.919021            0.008650         -149.927670
 273           136.50             218.64          -149.918900            0.006231         -149.925131
 274           137.00             183.53          -149.918831            0.005231         -149.924062
 275           137.50             204.56          -149.918847            0.005830         -149.924677
 276           138.00             250.85          -149.918904            0.007149         -149.926054
 277           138.50             281.39          -149.918932            0.008020         -149.926952
 278           139.00             275.93          -149.918898            0.007864         -149.926762
 279           139.50             244.18          -149.918816            0.006960         -149.925775
 280           140.00             213.84          -149.918722            0.006095         -149.924816
 281           140.50             211.95          -149.918655            0.006041         -149.924696
 282           141.00             251.00          -149.918646            0.007154         -149.925800
 283           141.50             323.02          -149.918706            0.009206         -149.927912
 284           142.00             402.11          -149.918821            0.011461         -149.930282
 285           142.50             454.26          -149.918953            0.012947         -149.931900
 286           143.00             452.06          -149.919044            0.012884         -149.931929
 287           143.50             390.06          -149.919048            0.011117         -149.930165
 288           144.00             292.59          -149.918958            0.008339         -149.927298
 289           144.50             204.77          -149.918833            0.005836         -149.924669
 290           145.00             166.46          -149.918752            0.004744         -149.923496
 291           145.50             185.78          -149.918752            0.005295         -149.924047
 292           146.00             235.25          -149.918798            0.006705         -149.925503
 293           146.50             275.72          -149.918826            0.007858         -149.926684
 294           147.00             285.37          -149.918805            0.008133         -149.926939
 295           147.50             269.48          -149.918746            0.007680         -149.926426
 296           148.00             250.34          -149.918677            0.007135         -149.925812
 297           148.50             250.87          -149.918633            0.007150         -149.925783
 298           149.00             282.23          -149.918635            0.008044         -149.926679
 299           149.50             338.68          -149.918693            0.009653         -149.928346
 300           150.00             399.58          -149.918795            0.011389         -149.930184
 301           150.50             437.13          -149.918910            0.012459         -149.931369
 302           151.00             428.32          -149.918989            0.012208         -149.931197
 303           151.50             367.95          -149.918989            0.010487         -149.929477
 304           152.00             276.40          -149.918903            0.007878         -149.926781
 305           152.50             193.42          -149.918778            0.005513         -149.924291
 306           153.00             155.87          -149.918690            0.004443         -149.923132
 307           153.50             173.12          -149.918676            0.004934         -149.923610
 308           154.00             221.84          -149.918708            0.006323         -149.925031
 309           154.50             266.39          -149.918731            0.007593         -149.926324
 310           155.00             285.24          -149.918716            0.008130         -149.926846
 311           155.50             280.81          -149.918670            0.008003         -149.926674
 312           156.00             271.36          -149.918619            0.007734         -149.926353
 313           156.50             276.58          -149.918589            0.007883         -149.926472
 314           157.00             306.31          -149.918601            0.008730         -149.927331
 315           157.50             355.68          -149.918662            0.010137         -149.928799
 316           158.00             406.51          -149.918762            0.011586         -149.930348
 317           158.50             434.01          -149.918870            0.012370         -149.931240
 318           159.00             417.57          -149.918941            0.011901         -149.930842
 319           159.50             352.92          -149.918934            0.010059         -149.928993
 320           160.00             259.97          -149.918842            0.007409         -149.926251
 321           160.50             177.42          -149.918709            0.005057         -149.923766
 322           161.00             141.84          -149.918612            0.004043         -149.922654
 323           161.50             163.73          -149.918590            0.004667         -149.923257
 324           162.00             221.07          -149.918623            0.006301         -149.924924
 325           162.50             277.74          -149.918657            0.007916         -149.926573
 326           163.00             309.20          -149.918663            0.008813         -149.927476
 327           163.50             313.36          -149.918641            0.008931         -149.927572
 328           164.00             304.60          -149.918609            0.008682         -149.927290
 329           164.50             301.37          -149.918587            0.008589         -149.927177
 330           165.00             315.61          -149.918595            0.008995         -149.927591
 331           165.50             347.28          -149.918642            0.009898         -149.928540
 332           166.00             383.92          -149.918723            0.010942         -149.929665
 333           166.50             404.99          -149.918815            0.011543         -149.930358
 334           167.00             390.74          -149.918879            0.011137         -149.930015
 335           167.50             334.00          -149.918873            0.009519         -149.928392
 336           168.00             249.38          -149.918785            0.007108         -149.925893
 337           168.50             170.79          -149.918653            0.004868         -149.923520
 338           169.00             133.43          -149.918544            0.003803         -149.922347
 339           169.50             151.23          -149.918505            0.004310         -149.922815
 340           170.00             208.17          -149.918524            0.005933         -149.924458
 341           170.50             271.55          -149.918560            0.007740         -149.926300
 342           171.00             314.90          -149.918579            0.008975         -149.927555
 343           171.50             330.82          -149.918575            0.009429         -149.928004
 344           172.00             328.93          -149.918557            0.009375         -149.927932
 345           172.50             325.72          -149.918546            0.009283         -149.927829
 346           173.00             333.91          -149.918558            0.009517         -149.928075
 347           173.50             355.74          -149.918604            0.010139         -149.928743
 348           174.00             381.32          -149.918679            0.010868         -149.929547
 349           174.50             392.39          -149.918761            0.011184         -149.929945
 350           175.00             371.30          -149.918811            0.010582         -149.929393
 351           175.50             312.60          -149.918792            0.008910         -149.927702
 352           176.00             231.45          -149.918697            0.006597         -149.925294
 353           176.50             160.39          -149.918565            0.004571         -149.923136
 354           177.00             132.14          -149.918459            0.003766         -149.922226
 355           177.50             158.78          -149.918425            0.004525         -149.922950
 356           178.00             223.55          -149.918452            0.006372         -149.924824
 357           178.50             293.25          -149.918502            0.008358         -149.926860
 358           179.00             339.98          -149.918538            0.009690         -149.928228
 359           179.50             354.33          -149.918548            0.010099         -149.928647
 360           180.00             344.86          -149.918537            0.009829         -149.928366
 361           180.50             329.07          -149.918522            0.009379         -149.927901
 362           181.00             322.79          -149.918522            0.009200         -149.927722
 363           181.50             332.34          -149.918550            0.009472         -149.928022
 364           182.00             351.32          -149.918608            0.010013         -149.928621
 365           182.50             363.11          -149.918677            0.010349         -149.929026
 366           183.00             349.03          -149.918722            0.009948         -149.928670
 367           183.50             300.24          -149.918707            0.008557         -149.927264
 368           184.00             227.19          -149.918618            0.006475         -149.925093
 369           184.50             158.84          -149.918485            0.004527         -149.923012
 370           185.00             128.04          -149.918369            0.003649         -149.922018
 371           185.50             151.30          -149.918320            0.004312         -149.922632
 372           186.00             217.42          -149.918341            0.006197         -149.924538
 373           186.50             294.85          -149.918398            0.008404         -149.926802
 374           187.00             352.38          -149.918450            0.010043         -149.928494
 375           187.50             375.44          -149.918477            0.010701         -149.929177
 376           188.00             369.00          -149.918479            0.010517         -149.928996
 377           188.50             349.66          -149.918471            0.009966         -149.928437
 378           189.00             334.33          -149.918472            0.009529         -149.928001
 379           189.50             331.43          -149.918495            0.009446         -149.927941
 380           190.00             337.40          -149.918539            0.009616         -149.928155
 381           190.50             339.13          -149.918589            0.009666         -149.928254
 382           191.00             321.60          -149.918616            0.009166         -149.927782
 383           191.50             278.05          -149.918591            0.007925         -149.926515
 384           192.00             217.54          -149.918506            0.006200         -149.924706
 385           192.50             164.02          -149.918387            0.004675         -149.923062
 386           193.00             144.52          -149.918285            0.004119         -149.922404
 387           193.50             172.52          -149.918244            0.004917         -149.923161
 388           194.00             237.81          -149.918269            0.006778         -149.925047
 389           194.50             311.68          -149.918332            0.008883         -149.927216
 390           195.00             364.51          -149.918392            0.010389         -149.928781
 391           195.50             381.47          -149.918424            0.010873         -149.929296
 392           196.00             366.95          -149.918425            0.010459         -149.928883
 393           196.50             338.01          -149.918408            0.009634         -149.928042
 394           197.00             313.37          -149.918395            0.008931         -149.927326
 395           197.50             303.93          -149.918400            0.008662         -149.927063
 396           198.00             308.36          -149.918428            0.008789         -149.927217
